epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.08574,3.27357,4.32553,1.64844,0,0,0,0,3.28912,4.48167,1.9172,0,0,0
2,6.40844,2.98068,4.26939,1.65257,0,0,0,0,3.2428,4.46843,1.90558,1.6505e-05,1.6505e-05,1.6505e-05
3,7.53543,3.02054,4.18125,1.68954,0,0,0,0,3.22056,4.44213,1.89402,3.26799e-05,3.26799e-05,3.26799e-05
4,8.66294,2.87677,4.2705,1.50907,0,0,0,0,3.20906,4.39625,1.87857,4.85247e-05,4.85247e-05,4.85247e-05
5,9.72131,3.26279,4.27029,1.65801,0.00211,0.05263,0.00118,0.00023,3.21653,4.3527,1.84734,6.40395e-05,6.40395e-05,6.40395e-05
6,10.7911,2.82244,4.09266,1.51251,0.0021,0.05263,0.00118,0.00035,3.17792,4.28481,1.77028,7.92242e-05,7.92242e-05,7.92242e-05
7,11.8218,2.73277,4.11866,1.55769,0.00319,0.07895,0.00188,0.0006,3.08637,4.24224,1.70827,9.40788e-05,9.40788e-05,9.40788e-05
8,12.8366,3.02502,4.18208,1.45381,0.00209,0.05263,0.00117,0.00058,3.01276,4.19584,1.65394,0.000108603,0.000108603,0.000108603
9,13.8502,2.69418,3.8288,1.38199,0.00323,0.07895,0.0019,0.00094,2.90546,4.12849,1.60945,0.000122798,0.000122798,0.000122798
10,14.8491,2.72487,3.9887,1.43425,0.00435,0.0968,0.00279,0.00101,2.88219,4.11549,1.58131,0.000136662,0.000136662,0.000136662
11,15.8667,2.73369,3.85994,1.30071,0.00539,0.12312,0.0036,0.00114,2.94561,4.087,1.59099,0.000150197,0.000150197,0.000150197
12,16.9097,2.84862,3.83387,1.35962,0.0033,0.07049,0.00236,0.00058,2.94852,4.09677,1.54356,0.000163401,0.000163401,0.000163401
13,17.9115,2.59988,3.52376,1.29464,0.00314,0.07895,0.00185,0.00052,2.85246,4.09495,1.51217,0.000176275,0.000176275,0.000176275
14,18.9526,2.48243,3.37438,1.23924,0.00418,0.10526,0.00253,0.00092,2.84873,4.06737,1.50673,0.000188819,0.000188819,0.000188819
15,19.9894,2.63075,3.37219,1.24492,0.00532,0.13158,0.00338,0.00122,2.92059,4.0347,1.5303,0.000201034,0.000201034,0.000201034
16,20.9992,2.48639,3.41308,1.22104,0.00776,0.18421,0.00534,0.00145,2.82938,3.99838,1.52369,0.000212918,0.000212918,0.000212918
17,22.0376,2.73308,3.30435,1.22284,0.00794,0.17575,0.00515,0.00157,2.78287,3.98777,1.53473,0.000224472,0.000224472,0.000224472
18,23.0344,2.56109,3.14737,1.18352,0.00794,0.17575,0.00515,0.00157,2.78287,3.98777,1.53473,0.000235695,0.000235695,0.000235695
19,24.0856,2.6027,3.14419,1.30424,0.00466,0.10526,0.00358,0.00093,2.73989,3.96016,1.50749,0.000246589,0.000246589,0.000246589
20,25.0876,2.55561,2.93113,1.20017,0.00466,0.10526,0.00358,0.00093,2.73989,3.96016,1.50749,0.000257153,0.000257153,0.000257153
