epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6878,3.21633,4.30755,1.65566,0,0,0,0,3.28572,4.48006,1.91901,0,0,0
2,29.9803,3.17777,4.41459,1.67912,0,0,0,0,3.24893,4.47409,1.90612,1.6505e-05,1.6505e-05,1.6505e-05
3,37.5476,3.03525,4.36273,1.72985,0,0,0,0,3.21442,4.46177,1.89654,3.26799e-05,3.26799e-05,3.26799e-05
4,44.004,2.96651,4.36231,1.65266,0,0,0,0,3.18388,4.44442,1.87639,4.85247e-05,4.85247e-05,4.85247e-05
5,50.427,3.02929,4.26259,1.72058,0,0,0,0,3.16614,4.39847,1.86282,6.40395e-05,6.40395e-05,6.40395e-05
6,57.9579,2.75934,4.30835,1.48199,0,0,0,0,3.12012,4.34354,1.84884,7.92242e-05,7.92242e-05,7.92242e-05
7,64.1202,2.77566,4.17581,1.39151,0,0,0,0,3.07092,4.29691,1.79205,9.40788e-05,9.40788e-05,9.40788e-05
8,70.3978,2.70601,4.09307,1.39978,0.00192,0.05263,0.00109,0.00011,2.9952,4.26573,1.71532,0.000108603,0.000108603,0.000108603
9,76.4961,2.80928,4.0213,1.32284,0.00375,0.10526,0.00243,0.00046,2.98081,4.19546,1.65528,0.000122798,0.000122798,0.000122798
10,83.5077,2.6325,3.86752,1.40854,0.0038,0.10526,0.00246,0.001,2.88321,4.18573,1.5473,0.000136662,0.000136662,0.000136662
11,90.7806,2.67953,3.85648,1.29814,0.00368,0.10526,0.00238,0.00115,2.83816,4.13819,1.51831,0.000150197,0.000150197,0.000150197
12,98.8877,2.82866,3.8058,1.39571,0.00364,0.10526,0.00233,0.00114,2.8725,4.11894,1.4977,0.000163401,0.000163401,0.000163401
13,105.9,2.70996,3.53012,1.26612,0.00416,0.0968,0.00256,0.00128,2.92611,4.11273,1.51896,0.000176275,0.000176275,0.000176275
14,112.668,2.62826,3.55772,1.2816,0.00511,0.12312,0.00334,0.00145,2.9372,4.12159,1.53784,0.000188819,0.000188819,0.000188819
15,121.365,2.81144,3.53089,1.38052,0.00513,0.12312,0.00331,0.00137,2.8854,4.10611,1.51992,0.000201034,0.000201034,0.000201034
16,134.124,2.54319,3.23344,1.30275,0.00611,0.14944,0.00383,0.00147,2.8734,4.07388,1.56594,0.000212918,0.000212918,0.000212918
17,143.682,2.8553,3.21334,1.29612,0.00624,0.14944,0.00404,0.00139,2.92255,4.03996,1.59286,0.000224472,0.000224472,0.000224472
18,151.417,2.54078,3.23451,1.27047,0.00624,0.14944,0.00404,0.00139,2.92255,4.03996,1.59286,0.000235695,0.000235695,0.000235695
19,158.509,2.49398,3.10169,1.14069,0.00528,0.12312,0.00322,0.00129,2.98127,3.99706,1.66967,0.000246589,0.000246589,0.000246589
20,166.474,2.60263,3.04059,1.19789,0.00528,0.12312,0.00322,0.00129,2.98127,3.99706,1.66967,0.000257153,0.000257153,0.000257153
21,177.955,2.58023,3.02759,1.24087,0.0065,0.14944,0.01746,0.00408,2.94661,3.95333,1.7172,0.000267387,0.000267387,0.000267387
22,187.017,2.59371,3.00305,1.20556,0.0065,0.14944,0.01746,0.00408,2.94661,3.95333,1.7172,0.00027729,0.00027729,0.00027729
23,197.255,2.534,3.00141,1.23383,0.00334,0.07895,0.01551,0.00186,2.89952,3.90983,1.72367,0.000286864,0.000286864,0.000286864
24,204.065,2.48064,3.02164,1.28835,0.00334,0.07895,0.01551,0.00186,2.89952,3.90983,1.72367,0.000296108,0.000296108,0.000296108
25,213.206,2.63037,2.81318,1.2793,0.00341,0.07049,0.00243,0.00068,2.93622,3.85083,1.75578,0.000305021,0.000305021,0.000305021
26,221.83,2.33753,2.63547,1.20862,0.00341,0.07049,0.00243,0.00068,2.93622,3.85083,1.75578,0.000313604,0.000313604,0.000313604
27,230.565,2.34046,2.62172,1.15988,0.00225,0.04417,0.00329,0.00128,2.94721,3.7988,1.79894,0.000321858,0.000321858,0.000321858
28,238.491,2.30087,2.38965,1.17573,0.00225,0.04417,0.00329,0.00128,2.94721,3.7988,1.79894,0.000329781,0.000329781,0.000329781
29,245.491,2.31027,2.59162,1.15905,0.00359,0.07049,0.00951,0.00316,2.93486,3.75989,1.79638,0.000337374,0.000337374,0.000337374
30,255.202,2.47016,2.72874,1.20233,0.00359,0.07049,0.00951,0.00316,2.93486,3.75989,1.79638,0.000344637,0.000344637,0.000344637
31,262.803,2.48761,2.5548,1.15072,0.00519,0.0968,0.02754,0.00674,2.89244,3.70366,1.73714,0.00035157,0.00035157,0.00035157
